greetings,id,imgUrl,modifiedTime,name,userAgent
祝福Elaine與呱呱永浴愛河～,-Mss-X8KhQ2hz-L2mC9b,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04819-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=71322a60-d387-469b-950e-58c3725268f7,2022-01-08T04:46:11.082Z,Bennie,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:95.0) Gecko/20100101 Firefox/95.0
祝福你們幸福快樂，永浴愛河~,-Mvm_vEkMgFj4J4fG7Ny,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05144-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=0068bae2-905a-4fe3-b048-bf361f0e982c,False,2022-02-13T10:18:55.344Z,宜蕙,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Mobile/15E148 Safari/604.1"
"恭喜兩位🎉
祝福你們 心心相印 百年好合😊",-MvmaGMx-G6tyiwYOaqu,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04819-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=71322a60-d387-469b-950e-58c3725268f7,False,2022-02-13T10:20:25.981Z,小靜,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19C57 [FBAN/FBIOS;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/15.2;FBSS/3;FBID/phone;FBLC/zh_TW;FBOP/5]"
"恭喜你們~~~
祝你們一直都像這張照片一樣~
打打鬧鬧，甜甜蜜蜜，白頭偕老~~~~~",-MvmahrtEdoww1QRizEw,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05204-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF-2.jpeg?alt=media&token=c02962d9-d3df-4345-89e7-10212dd1ee6a,False,2022-02-13T10:22:22.713Z,若翔&薰誼,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
祝你們永遠幸福快樂！,-Mvmf3sLV8MfW_mafvG6,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04642-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=6c418a66-9bb7-4fdc-b28c-9b412284ba8e,True,2022-02-13T10:41:25.527Z,邱小惠,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19D50 [FBAN/FBIOS;FBDV/iPhone12,8;FBMD/iPhone;FBSN/iOS;FBSV/15.3;FBSS/2;FBID/phone;FBLC/zh_TW;FBOP/5]"
羿凱～恭喜恭喜🎉新婚快樂,-Mvmg4f9tt0h3mE1y65e,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04953-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=5fb86cf3-9260-4028-8e9b-6e5388197077,False,2022-02-13T10:45:50.922Z,亦婷,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19C63 [FBAN/FBIOS;FBDV/iPhone14,2;FBMD/iPhone;FBSN/iOS;FBSV/15.2.1;FBSS/3;FBID/phone;FBLC/zh_TW;FBOP/5]"
咕嚕巴迪就是貓咪好朋友的意思～,-Mvmp0QoJMmV4TTPbNBb,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05094-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=c9a7f935-849f-4b91-aa9f-2609ebe5feb3,True,2022-02-13T11:24:52.853Z,快打旋風大魔王,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) WebKit/8612 (KHTML, like Gecko) Mobile/19C56 [FBAN/FBIOS;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/15.2;FBSS/2;FBID/phone;FBLC/zh_TW;FBOP/5]"
Elaine 新婚快樂！早生貴子！👍🧸🧩,-MvmrDAzgpRNhp1oB2tA,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04719-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=c9b1dd3d-e460-4082-9cf5-5c7d1c65b9c7,False,2022-02-13T11:34:29.376Z,Farrah,"Mozilla/5.0 (Linux; Android 10; MAR-LX2 Build/HUAWEIMAR-L22B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.4606.85 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/353.0.0.34.116;]"
永浴愛河 百年好合,-MvmukL6H9dL8-8soD-U,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04767-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=618d6936-d275-4cbf-a6eb-a69a9ade93d8,False,2022-02-13T11:49:55.719Z,City,"Mozilla/5.0 (iPad; CPU OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19C63 [FBAN/FBIOS;FBDV/iPad11,3;FBMD/iPad;FBSN/iPadOS;FBSV/15.2.1;FBSS/2;FBID/tablet;FBLC/zh_TW;FBOP/5]"
祝福你們幸福快樂每一天，互相扶持體諒每一個人生階段。,-Mvn2DZidfS8vd37iu48,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05175-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=41761b1c-54dc-455f-84e3-f9bdcaefcc36,False,2022-02-13T12:26:56.687Z,燕青阿姨,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19C63 [FBAN/FBIOS;FBDV/iPhone11,8;FBMD/iPhone;FBSN/iOS;FBSV/15.2.1;FBSS/2;FBID/phone;FBLC/zh_TW;FBOP/5]"
"恭喜妳邁入新的階段
祝福妳們",-Mvn8OzQZ1XPwvOEob6O,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04719-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=c9b1dd3d-e460-4082-9cf5-5c7d1c65b9c7,False,2022-02-13T12:53:56.315Z,莉婷,"Mozilla/5.0 (Linux; Android 11; CPH1951 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.4758.87 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/352.0.0.21.117;]"
"恭喜恭喜～
祝福你們幸福到永久",-MvnFx9_AdnPuZPQn8i8,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04719-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=c9b1dd3d-e460-4082-9cf5-5c7d1c65b9c7,False,2022-02-13T13:26:55.398Z,小梅姐姐,"Mozilla/5.0 (Linux; Android 10; SM-A505GN Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/81.0.4044.138 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/353.0.0.34.116;]"
"月老紅繩一線牽，天成良配地為緣，新娘乘轎郎騎馬，一對璧人春宵暖，鐘鼓樂之琴作響，鳳鸞和鳴喜上顏，珠聯璧合百年作，前世修得共枕眠。
阿姨祝福你們：白頭偕老❤️",-MvnJjRqLnyzt2N1ZP__,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04883-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=ca73532e-344b-4f63-9a29-a8d1a00c3bcb,False,2022-02-13T13:43:27.799Z,陳秋鳳,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/13.3.1;FBSS/2;FBID/phone;FBLC/zh_TW;FBOP/5;FBCR/]"
新婚快樂！祝永遠幸福甜蜜❤️,-MvnMVFg5jrcXfmRC2yF,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05175-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=41761b1c-54dc-455f-84e3-f9bdcaefcc36,False,2022-02-13T13:55:32.012Z,慧霖,"Mozilla/5.0 (Linux; Android 11; XQ-BT52) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.98 Mobile Safari/537.36"
恭喜新婚愉快🥳🥳🥳早生貴子,-MvnRq21qx4L6w7uDS3_,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04668-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=93d38de0-c8ee-41ce-8b55-fc0aec13180a,False,2022-02-13T14:18:51.970Z,小美女,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19C63 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/15.2.1;FBSS/2;FBID/phone;FBLC/zh_TW;FBOP/5]"
"阿愷 讚讚👍
大快樂！！！",-MvnXPvgWNoQNKXXeDjX,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04642-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=6c418a66-9bb7-4fdc-b28c-9b412284ba8e,False,2022-02-13T14:43:13.773Z,智堯,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone11,8;FBMD/iPhone;FBSN/iOS;FBSV/13.7;FBSS/2;FBID/phone;FBLC/zh_TW;FBOP/5]"
恭喜你囉 祝福你們早生貴子/女 ❤️,-MvnbNMBNEMTOX9ZXXUF,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04970-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=40ac3e23-e8e5-4a0f-af29-672c20af4c9a,False,2022-02-13T15:04:53.965Z,映宇,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19D52 [FBAN/FBIOS;FBDV/iPhone9,4;FBMD/iPhone;FBSN/iOS;FBSV/15.3.1;FBSS/3;FBID/phone;FBLC/zh_TW;FBOP/5]"
祝福你們有情人終成眷屬，永結同心，白頭偕老～,-MvnlmzYODqI0Zi0u6Ni,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04837-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=f62c3ffb-ba8c-49cf-8366-ff84fbe53e28,True,2022-02-13T15:50:24.484Z,小舅媽,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19C63 [FBAN/FBIOS;FBDV/iPhone11,6;FBMD/iPhone;FBSN/iOS;FBSV/15.2.1;FBSS/3;FBID/phone;FBLC/zh_TW;FBOP/5]"
"恭喜怡綾～～
祝福你們 百年好合 幸福美滿！",-MvoKKJrrZE-In2TBH8R,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05135-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=5771c770-f512-4c20-8772-775c3eb78054,False,2022-02-13T18:25:40.151Z,霽原,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18E212 [FBAN/FBIOS;FBDV/iPhone10,6;FBMD/iPhone;FBSN/iOS;FBSV/14.5.1;FBSS/3;FBID/phone;FBLC/zh_TW;FBOP/5]"
祝永浴愛河！幸福美滿！,-MvpEeSqwkVOVvvmtzTc,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04767-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=618d6936-d275-4cbf-a6eb-a69a9ade93d8,False,2022-02-13T22:40:31.095Z,潔明,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18E212 [FBAN/FBIOS;FBDV/iPhone10,4;FBMD/iPhone;FBSN/iOS;FBSV/14.5.1;FBSS/2;FBID/phone;FBLC/zh_TW;FBOP/5]"
雖然稱不上是學妹的朋友 但刷臉書看到結婚喜訊不請自來的在海大英文課上認識的我 誠心祝賀學妹邁向人生的下一個旅程 願學妹在平常的生活中和唯一的他共度不平凡的每個時刻,-MvpGSUYHfZTrho7OXiH,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04708-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=02028092-dc71-457a-a5d6-fc441dc87077,False,2022-02-13T22:48:22.243Z,Alicia,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0
"老妹恭喜了, 祝福你能開開心心的度過每一天~",-Mvptd1hbJpSiA_iCZbc,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04995-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=e6357bcc-c043-4f0c-b5d6-9e8f95455cc8,True,2022-02-14T01:43:55.309Z,黃建瑋,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
恭喜你們結婚呀，我上禮拜跟你問完事情去收信才發現你寄信說取消宴客了XDDD啊我覺得這件藍色的新娘禮服好好看，婚紗照也都好美!祝你們白頭偕老~,-MvpwJQ2Fo2PJiMFkyox,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04788-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=bc251c95-467a-4d01-9190-12f70b584016,False,2022-02-14T01:55:37.284Z,榆婷,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
"為了照這張霸氣照不知道重新整理了幾次XDD
太帥啦～祝天天幸福開心<3<3<3<3",-MvqZd-0ADr5hX7oFy2l,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04708-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=02028092-dc71-457a-a5d6-fc441dc87077,False,2022-02-14T04:51:47.329Z,BehindJohnsonChen,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
啊啊啊啊啊啊結婚了好棒棒～～～恭喜恭喜～～～要一直幸福❤️❤️❤️這張照片好有夫妻臉>\\\\\<,-MvqpVd0l7ZxqEmXTNQ5,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05175-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=41761b1c-54dc-455f-84e3-f9bdcaefcc36,False,2022-02-14T06:05:29.537Z,年,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18H107 [FBAN/FBIOS;FBDV/iPhone11,2;FBMD/iPhone;FBSN/iOS;FBSV/14.8.1;FBSS/3;FBID/phone;FBLC/zh_TW;FBOP/5]"
弈愷，我是乃文，可惜我不在台灣沒辦法參加你的婚禮，恭喜你結婚，邁入人生的下個階段！,-MvrwHaCUMxwwpUK-ZuU,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04788-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=bc251c95-467a-4d01-9190-12f70b584016,False,2022-02-14T11:14:44.237Z,乃文,"Mozilla/5.0 (Linux; Android 11; Redmi K20 Pro Premium Edition Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.4758.87 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/353.0.0.34.116;]"
恭喜怡綾～祝福妳與呱呱幸福快樂每一天☺️散發很多粉色泡泡給我們喔！,-MvsRIKju1vu5mTKxumS,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05033-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=dc3fd04c-c1d9-4d1a-a8dc-099be18e5b35,False,2022-02-14T13:34:35.888Z,上瑄,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19B81 [FBAN/FBIOS;FBDV/iPhone13,2;FBMD/iPhone;FBSN/iOS;FBSV/15.1.1;FBSS/3;FBID/phone;FBLC/zh_TW;FBOP/5]"
"期許你能向爸爸看齊，
當個100分的老公～～",-MvvINjvK2wiJEgnkqZY,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fpublic_upload%2F36bc7294-3b22-4b56-85dc-f7c8aa7a2f5d?alt=media&token=28d5c71c-b8ef-4191-a487-03990eb184fc,True,2022-02-15T02:54:30.396Z,最幸福的婆婆,"Mozilla/5.0 (Linux; Android 11; SM-A205GN Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.4758.87 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/353.0.0.34.116;]"
怡綾：管教兒子的重責大任就交給妳了，不乖的話就給他K下去，千萬不要客氣！,-MvvNtkXRm4TNu9uSGo-,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fpublic_upload%2Fdb91648e-09f5-4dcc-aa89-56919ceb52f1?alt=media&token=10a98ed0-4530-45f3-872c-e06e3f3b0f5e,True,2022-02-15T03:18:36.322Z,老爸,"Mozilla/5.0 (Linux; Android 11; SM-A528B Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.4758.87 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/353.0.0.34.116;]"
"恭喜你們喜結連理
這是多麼難得的緣份
希望你們珍愛彼此
互信互諒互愛
建立美滿幸福的家庭",-Mvvcau1HevRgYrQzc5H,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04970-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=40ac3e23-e8e5-4a0f-af29-672c20af4c9a,True,2022-02-15T04:27:13.411Z,李梅春/大姨,"Mozilla/5.0 (Linux; Android 7.1.1; CPH1707 Build/NMF26X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/334.0.0.32.119;]"
帥哥羿愷，祝福您每日都像新婚一樣幸福、快樂、健康。,-MvvkCRko-u5LJ7jzxT_,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05144-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=0068bae2-905a-4fe3-b048-bf361f0e982c,False,2022-02-15T05:00:26.288Z,明德幫-博元,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
恭喜啊!祝你們永遠幸福!,-MvwUKkD2NKfQC32Na86,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04695-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=50d724ae-1e35-4d44-88a4-069b0c661866,False,2022-02-15T08:26:21.070Z,老王,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
"祝福羿愷和怡綾
天賜良緣、幸福美滿",-Mvwq_G8BOBHO7UjJZu_,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04642-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=6c418a66-9bb7-4fdc-b28c-9b412284ba8e,True,2022-02-15T10:07:53.931Z,汪明益/姨丈,"Mozilla/5.0 (Linux; Android 6.0.1; CPH1611 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/351.0.0.38.117;]"
"認識這麼久了
廢話不用多
恭喜欸～🤣🤣",-MvwsFQW-dAu48tp17J3,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04925-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=215f3ba8-fd61-470d-9e48-890061c703a2,False,2022-02-15T10:15:12.866Z,蔡濟竹,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/12.1.0"
羿愷、怡綾:恭喜恭喜!!!祝福兩位長長久久，百年好合:),-MvwuguJeFztqN9ZNlMM,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04767-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=618d6936-d275-4cbf-a6eb-a69a9ade93d8,False,2022-02-15T10:25:53.812Z,冠霏,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
學長：新婚快樂！祝永浴愛河❤️,-Mvx8CtluBcFpTysSa80,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04708-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=02028092-dc71-457a-a5d6-fc441dc87077,False,2022-02-15T11:29:18.961Z,莉晴 Sunny,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone11,8;FBMD/iPhone;FBSN/iOS;FBSV/14.6;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5]"
恭喜🎉🎉,-Mw2SN4qALwbOYxdO-ty,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04854-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=180a8a11-c1db-4fa2-a7dd-ed995cb5cc3a,False,2022-02-16T16:55:06.870Z,黃建銘/海大資工同學,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19B81 [FBAN/FBIOS;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/15.1.1;FBSS/3;FBID/phone;FBLC/zh_TW;FBOP/5]"
"《他讓我們好驕傲》一直是姑姑向別人形容的你••現在是”你們“了，要讓我們繼續驕傲下去噢！
趕點進度，讓姑姑被追著跑，讓姑姑被喊著要“姑婆抱抱”••",-Mw6cn2cre5eujGivgbF,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04708-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=02028092-dc71-457a-a5d6-fc441dc87077,True,2022-02-17T12:23:29.768Z,陳麗芳,"Mozilla/5.0 (Linux; Android 12; V2050 Build/SP1A.210812.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/353.0.0.34.116;]"
陳羿愷新婚快樂啊！真的好期待這個🥺🥺,-MwE6SdHHuT9kABaqPtz,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fpublic_upload%2F822b9301-c44d-4450-b768-15d60148681b?alt=media&token=a8e104a8-bef5-43cb-91d1-4dee924a2fb1,True,2022-02-18T23:14:49.043Z,黃韋倫,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/12.2.0"
"最喜歡這張照片，自然地望著彼此眼眸相視而笑，眼裡滿是幸福藏不住🥰恭喜你晉升為人妻囉～
新郎絕對不能欺負新娘唷！
新娘請你好好愛護新郎唷！
祝福兩位以及在座的親友們快樂充實的過每一天🙂
對了！我的捧花請宅配給我 哈哈",-MwJ6zIJVO_OizZcNpBG,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC05204-%E7%B7%A8%E8%BC%AF-%E7%B7%A8%E8%BC%AF-2.jpeg?alt=media&token=c02962d9-d3df-4345-89e7-10212dd1ee6a,True,2022-02-19T22:35:12.981Z,米柔,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19C63 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/15.2.1;FBSS/2;FBID/phone;FBLC/zh_TW;FBOP/5]"
男帥女美，永浴愛河❤️❤️❤️❤️,-MwJzLqPdAHajJBuUIaG,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04837-%E7%B7%A8%E8%BC%AF.jpeg?alt=media&token=f62c3ffb-ba8c-49cf-8366-ff84fbe53e28,True,2022-02-20T02:37:07.354Z,塔,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 LightSpeed [FBAN/MessengerLiteForiOS;FBAV/347.1.0.30.115;FBBV/350261955;FBDV/iPhone13,4;FBMD/iPhone;FBSN/iOS;FBSV/15.3.1;FBSS/3;FBCR/;FBID/phone;FBLC/zh-Hant;FBOP/0]"
祝你們永遠幸福快樂，羿愷發大財😍😍😍,-MwJzbrZzTxLXJJtKV3g,https://firebasestorage.googleapis.com/v0/b/image.weddi.app/o/ykyl%2Fsmall%2FDSC04978.jpg?alt=media&token=437b629b-d1af-45e2-a1c5-c789fe7d5377,True,2022-02-20T02:38:17.060Z,博証,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 LightSpeed [FBAN/MessengerLiteForiOS;FBAV/332.0.0.45.117;FBBV/321367341;FBDV/iPhone9,4;FBMD/iPhone;FBSN/iOS;FBSV/14.4.2;FBSS/3;FBCR/;FBID/phone;FBLC/zh-Hant;FBOP/0]"
